DATE,CATEGORY,NAME,UNITS,TOTAL_PRICESELL,PROFIT
2016-03-31,Apples,Apple pink lady 1kg Punnet,2.0,7.98,0.9800000000000004
2016-03-31,Asian Vegies,bitter melon,6.41,28.845000000000002,-3.205000000000001
2016-03-31,Avocadoes,Avocado Hass Medium,9.0,17.91,-9.09
2016-03-31,Bananas,Banana Cavendish,334.52399999999983,665.702759999999,-3.3452399999999964
2016-03-31,Berries,Berries Raspberry,5.0,17.5,17.5
2016-03-31,Bunch Vegies,Silverbeet,2.002,6.006,6.006
2016-03-31,Cabbages,Cabbage Wombok,9.0,13.5,-20.25
2016-03-31,Chillies,Chilli Birdseye,0.176,3.1680000000000006,3.1680000000000006
2016-03-31,Citrus,Mandarine Clementine,6.620000000000001,19.86,19.86
2016-03-31,Cucumbers,Cucumber continental,59.402,89.10300000000001,89.10300000000001
2016-03-31,Cut Veggies,cabbage  quater green ,1.0,1.7,1.7
2016-03-31,Eggs,Eggs 850g,23.0,89.47,20.47000000000001
2016-03-31,Flowers,Bunch Roses,12.0,108.0,12.0
2016-03-31,Grapes,Crimson Grapes,31.86200000000001,158.99138,158.99138
2016-03-31,Herbs,Lemongrass,1.0,1.2,1.2
2016-03-31,Lettuces,Lettuce Salad mix loose,8.373999999999999,100.488,0.0
2016-03-31,Melons,Piel de Sapo Melon,1.0,2.99,-0.009999999999999787
2016-03-31,Multi buy,Gold Kiwi 2 for,9.0,27.0,10.799999999999999
2016-03-31,Mushrooms,Mushroom Cup,14.828000000000007,133.30372,59.163720000000005
2016-03-31,Nuts,chest Nuts,1.326,11.933999999999997,0.013259999999999827
2016-03-31,Olympian Products,Sesame Biscota 250g,1.0,3.81818181818182,0.8181818181818201
2016-03-31,Onions,Onion Pickling,3.3760000000000003,6.71824,1.65424
2016-03-31,Other Fruits,Quinces,1.0,4.99,4.8900000000000015
2016-03-31,Other Vegies,Beans baby,2.0,0.0,0.0
2016-03-31,Pears,Pear Nashi,5.33,15.936700000000002,-5.383299999999998
2016-03-31,Potatoes,potatoes royal blue,1.114,3.3308600000000004,3.3308600000000004
2016-03-31,Pumpkins,Pumpkin Grey,14.985999999999999,29.82214,29.82214
2016-03-31,Root Vegies,Kithul Trecle Dera750ml,1.0,7.99,2.09
2016-03-31,Sri Lankan Groceries,Vinegar 350ml,1.0,1.99,-0.8600000000000001
2016-03-31,Stonefruits,peaches white,15.470000000000002,54.144999999999996,54.144999999999996
2016-03-31,Tomatoes,Mix Medley Tomatoes,8.0,16.0,0.0
2016-03-31,Tropical Fruits,Longans ,17.872,151.912,-26.808000000000007
2016-03-31,Veggies,Red Onion,2.7500000000000004,10.449999999999998,10.449999999999998
2016-03-31,capsicum,Capsicum yellow,0.49399999999999994,3.2109999999999994,3.2109999999999994
2016-03-31,carrots,Carrots 1kg,97.0,144.5299999999999,66.92999999999991
2016-04-30,Apples,Apple Granny Smith 1kg bag,2.0,5.38,-0.6200000000000001
2016-04-30,Asian Vegies,bitter melon,19.959999999999997,89.82,-9.98
2016-04-30,Avocadoes,Avocado Hass Medium,89.0,177.10999999999996,-89.89000000000004
2016-04-30,Bananas,Banana Cavendish,933.9640000000007,1858.5883599999993,-9.339640000000012
2016-04-30,Berries,Berries Strawberry (medium),8.0,20.0,20.0
2016-04-30,Bunch Vegies,Beetroot bunch,1.0,3.99,3.99
2016-04-30,Cabbages,Cabbage Wombok,43.0,64.5,-96.75
2016-04-30,Chillies,chilli Jalapeno,0.6020000000000001,6.02,6.02
2016-04-30,Citrus,Grapefruit Marsh,6.056,24.16344,2.9674400000000016
2016-04-30,Cucumbers,Cucumber continental,339.0,508.5,508.5
