DATE,CATEGORY,NAME,UNITS,TOTAL_PRICESELL,PROFIT
2016-03-31,Apples,Apple Jonathan ,1.0,3.0,1.0
2016-03-31,Asian Vegies,Bok choy,1.15,1.1385,1.1385
2016-03-31,Avocadoes,Avocado Hass Medium,9.0,17.91,-9.09
2016-03-31,Bananas,Banana Cavendish,334.52399999999983,665.702759999999,-3.3452399999999964
2016-03-31,Berries,Berries Raspberry,5.0,17.5,17.5
2016-03-31,Bunch Vegies,Asparagus white,2.0,18.18181818181818,18.18181818181818
2016-03-31,Cabbages,Cabbage Savoy,0.15,0.7485,0.7485
2016-03-31,Chillies,Chilli Birdseye,0.176,3.1680000000000006,3.1680000000000006
2016-03-31,Citrus,Orange blood,5.252000000000001,20.955480000000005,20.955480000000005
2016-03-31,Cucumbers,Cucumber Lebanese,34.88400000000001,174.07116000000016,174.07116000000016
2016-03-31,Cut Veggies,cabbage  quater green ,1.0,1.7,1.7
2016-03-31,Eggs,Eggs 850g,23.0,89.47,20.47000000000001
2016-03-31,Flowers,Bunch Roses,12.0,108.0,12.0
2016-03-31,Grapes,Crimson Grapes,31.86200000000001,158.99138,158.99138
2016-03-31,Herbs,Lemongrass,1.0,1.2,1.2
2016-03-31,Lettuces,Lettuce Rocket,0.246,4.92,4.92
2016-03-31,Melons,Honeydew,1.0,4.8,4.8
2016-03-31,Multi buy,Gold Kiwi 2 for,9.0,27.0,10.799999999999999
2016-03-31,Mushrooms,Mushroom flat ,14.383999999999993,143.69616000000002,143.69616000000002
2016-03-31,Nuts,Cobbers,1.0,3.0,1.6
2016-03-31,Olympian Products,Sesame Biscota 250g,1.0,3.81818181818182,0.8181818181818201
2016-03-31,Onions,Onion white,1.69,8.4331,8.4331
2016-03-31,Other Fruits,Quinces,1.0,4.99,4.8900000000000015
2016-03-31,Other Vegies,Peas sugar snap,0.302,3.0169799999999998,3.0169799999999998
2016-03-31,Pears,ya pears,4.448,17.74752,17.74752
2016-03-31,Potatoes,potatoes royal blue,1.114,3.3308600000000004,3.3308600000000004
2016-03-31,Pumpkins,Pumpkin Grey,14.985999999999999,29.82214,29.82214
2016-03-31,Root Vegies,Carrots Dutch,1.0,3.0,3.0
2016-03-31,Sri Lankan Groceries,1Lt Coconut oil,1.0,14.0,13.72
2016-03-31,Stonefruits,peaches white,15.470000000000002,54.144999999999996,54.144999999999996
2016-03-31,Tomatoes,Cherry Tomatoes 250g,1.0,2.99,0.9900000000000002
2016-03-31,Tropical Fruits,Custard Apple,0.33,3.6267,3.6267
2016-03-31,Veggies,Red Onion,2.7500000000000004,10.449999999999998,10.449999999999998
2016-03-31,capsicum,Capsicum yellow,0.49399999999999994,3.2109999999999994,3.2109999999999994
2016-03-31,carrots,Carrots ,42.010000000000005,71.417,71.417
2016-04-30,Apples,Apple Granny Smith 1kg bag,2.0,5.38,-0.6200000000000001
2016-04-30,Asian Vegies,Thai Eggplant,2.444,12.19556,1.1975600000000002
2016-04-30,Avocadoes,Avocado Hass Medium,89.0,177.10999999999996,-89.89000000000004
2016-04-30,Bananas,Banana Cavendish,933.9640000000007,1858.5883599999993,-9.339640000000012
2016-04-30,Berries,Berries Raspberry,8.0,28.0,28.0
2016-04-30,Bunch Vegies,Beetroot bunch,1.0,3.99,3.99
2016-04-30,Cabbages,Cabbage red,1.0,4.5,4.5
2016-04-30,Chillies,chilli Jalapeno,0.6020000000000001,6.02,6.02
2016-04-30,Citrus,Orange blood,2.122,8.466780000000002,8.466780000000002
2016-04-30,Cucumbers,Cucumber Lebanese,118.16,589.6183999999997,589.6183999999997
2016-04-30,Cut Fruits,Honeydew Half,3.0,5.07,2.07
2016-04-30,Cut Veggies,wombok half,4.0,10.0,2.0
2016-04-30,Eggs,egg free range 600g,9.0,37.800000000000004,9.0
2016-04-30,Flowers,Bunch Roses,16.0,144.0,16.0
2016-04-30,Fruits,Papaya,1.0,2.99,0.4900000000000002
2016-04-30,Grapes,Grapes Red Globe,25.917999999999996,116.63099999999999,51.83599999999999
2016-04-30,Groceries-Dry Goods,Monsoon Basmathi 5kg,8.0,79.92,79.92
2016-04-30,Herbs,Curry Leaves,0.04000000000000001,0.08000000000000002,0.08000000000000002
2016-04-30,Kalamata olives,Barley Rusk,1.0,7.0,1.5
2016-04-30,Lettuces,Baby Cos 2pac,1.0,2.9,0.8999999999999999
2016-04-30,Melons,Gold Honeydew,2.0,8.0,3.0
2016-04-30,Multi buy,Broccoli Chinese 2 for 3.40,1.0,3.4,2.41
2016-04-30,Mushrooms,Mushrooms Sliced 200g,5.0,15.0,5.0
2016-04-30,Nuts,Apple Rings 500g,1.0,7.0,1.75
2016-04-30,Olympian Products,Dry East 125g,1.0,2.19,0.69
2016-04-30,Onions,Prepacked Chinese Garlic,2.0,7.0,5.0
2016-04-30,Other Fruits,Kiwi fruit Green,16.0,88.0,88.0
2016-04-30,Other Vegies,Celery Pieces,0.9880000000000001,4.8412000000000015,2.8652000000000006
2016-04-30,Pears,Pear Nashi,0.222,0.66378,-0.22422
2016-04-30,Potatoes,potato Red 4kg,1.0,7.0,4.0
2016-04-30,Pumpkins,Pumpkin Grey,31.281999999999996,62.251179999999984,62.251179999999984
2016-04-30,Root Vegies,Kithul Trecle Dera750ml,3.0,23.97,6.27
2016-04-30,Sri Lankan Groceries,Basmathi 1kg Monsoon,1.0,2.99,1.2400000000000002
2016-04-30,Stonefruits,peaches white,0.492,1.722,1.722
2016-04-30,Tomatoes,Mix Medley Tomatoes,1.0,2.0,0.0
2016-04-30,Tropical Fruits,Custard Apple,0.7,7.693,7.693
2016-04-30,Veggies,Red Onion,0.348,1.3223999999999998,1.3223999999999998
2016-04-30,capsicum,Capsicum yellow,0.174,1.131,1.131
2016-04-30,carrots,Carrots ,79.76400000000001,135.5988,135.5988
2016-04-30,coconut Products,Premium 5k Pattu,1.0,13.5,2.8800000000000012
2016-05-31,Apples,Apple Granny Smith 1kg bag,3.0,8.07,-0.9300000000000002
2016-05-31,Asian Vegies,Thai Eggplant,2.568,12.81432,1.2583200000000005
2016-05-31,Avocadoes,Avocado Shepard,4.0,8.0,8.0
2016-05-31,Bananas,Bananas Ladyfinger,9.158000000000001,43.9584,2.7473999999999985
2016-05-31,Berries,Berries Strawberry (medium),11.0,27.5,27.5
2016-05-31,Bunch Vegies,Endive,7.0,21.0,21.0
2016-05-31,Cabbages,Cabbage green,13.0,64.87000000000002,64.87000000000002
2016-05-31,Chillies,Chilli Birdseye,0.6600000000000001,11.879999999999999,11.879999999999999
2016-05-31,Citrus,Mandarin Hickson,0.58,1.7342,0.5742
2016-05-31,Cucumbers,Cucumber Lebanese,131.88000000000008,658.0812000000003,658.0812000000003
2016-05-31,Cut Fruits,Rockmelon Half,2.0,2.0,0.0
2016-05-31,Cut Veggies,cabbage red half,1.0,2.7,2.7
2016-05-31,Eggs,egg free range 500g,3.0,11.97,5.37
2016-05-31,Fruits,Figs 370g pak,14.0,56.0,14.0
2016-05-31,Grapes,grapes Calmeria,12.637999999999998,25.14962,-19.083380000000002
2016-05-31,Groceries-Dry Goods,Monsoon Basmathi 5kg,6.0,59.940000000000005,59.940000000000005
2016-05-31,Herbs,Curry Leaves,0.048,0.096,0.096
2016-05-31,Kalamata olives,Olive Oil Rusk,1.0,7.0,2.0
2016-05-31,Lettuces,Radicchio,1.0,4.5,2.0
2016-05-31,Melons,Piel de Sapo Melon,3.0,8.97,-0.02999999999999936
2016-05-31,Multi buy,Gold Kiwi 2 for,1.0,3.0,1.2
2016-05-31,Mushrooms,Mushroom flat ,15.056000000000001,150.40943999999996,150.40943999999996
2016-05-31,Nuts,Cobbers,1.0,3.0,1.6
2016-05-31,Olympian Products,Dry East 125g,1.0,2.19,0.69
2016-05-31,Onions,Prepacked Chinese Garlic,2.0,7.0,5.0
2016-05-31,Other Fruits,Kiwi fruit Green,18.0,99.0,99.0
2016-05-31,Other Vegies,Beans broad,0.974,5.8342600000000004,5.8342600000000004
2016-05-31,Pears,Red Nashi Pear,2.724,6.7827600000000015,-0.027239999999999376
2016-05-31,Potatoes,potato Red 4kg,3.0,21.0,12.0
2016-05-31,Pumpkins,Pumpkin Grey,22.9,45.571,45.571
2016-05-31,Root Vegies,Turmeric,0.032,0.8,-0.6399999999999999
2016-05-31,Sri Lankan Groceries,Delmage Jack Ma 425g,1.0,4.5,1.0
2016-05-31,Stonefruits,Plums Angelino,21.778,87.112,43.556
2016-05-31,Tomatoes,tomato sweet cherry vine,2.0,5.0,5.0
2016-05-31,Tropical Fruits,Passionfruit,1.0,0.99,0.99
2016-05-31,Veggies,Black Spanish Queen Olives,9.886,52.29694,12.752939999999999
2016-05-31,capsicum,Capsicum green,61.940000000000005,309.0806000000001,309.0806000000001
2016-05-31,carrots,Carrots ,108.104,183.7768000000001,183.7768000000001
2016-05-31,coconut Products,Coconut Fine 500g,1.0,3.99,0.9900000000000002
2016-05-31,trutaste,Cashews Salted375g,1.0,9.08181818181818,1.3318181818181802
2016-06-30,Apples,Apple Granny smith 2kg Bags,3.0,13.5,4.5
2016-06-30,Asian Vegies,Cooking Banana,0.704,4.92096,2.4569600000000005
2016-06-30,Avocadoes,Avocado Shepard,10.0,20.0,20.0
2016-06-30,Bananas,Bananas Ladyfinger,10.364,49.74720000000001,3.109199999999999
2016-06-30,Berries,Berries Strawberry (medium),14.0,35.0,35.0
2016-06-30,Bunch Vegies,Radish Red ,0.236,1.17764,0.5876399999999999
2016-06-30,Cabbages,Cabbage Savoy,21.0,104.79,104.79
2016-06-30,Chillies,chilli Jalapeno,0.098,0.9800000000000001,0.9800000000000001
2016-06-30,Citrus,3kg Valencia Oranges,1.0,4.5,2.5
2016-06-30,Cucumbers,Cucumber Lebanese,123.79199999999999,617.7220800000001,617.7220800000001
2016-06-30,Cut Fruits,Rockmelon Half,1.0,1.0,0.0
2016-06-30,Cut Veggies,cabbage red half,1.0,2.7,2.7
2016-06-30,Eggs,egg free range 500g,11.0,43.890000000000015,19.689999999999998
2016-06-30,Flowers,Bunch Roses,1.0,9.0,1.0
2016-06-30,Grapes,grapes sulthana,24.088000000000005,120.19912000000004,72.02311999999998
2016-06-30,Groceries-Dry Goods,Lentils 400g,1.0,1.29,0.38
2016-06-30,Herbs,Curry Leaves,0.14,0.28,0.28
2016-06-30,Kalamata olives,Olive Oil Rusk,1.0,7.0,2.0
2016-06-30,Lettuces,Lettuce Rocket,0.544,10.88,10.88
2016-06-30,Melons,Gold Honeydew,5.0,20.0,7.5
2016-06-30,Multi buy,Avocado 2 for $,4.0,8.0,3.0
2016-06-30,Mushrooms,Mushroom Button,2.542,27.93658,27.93658
2016-06-30,Nuts,Apple Rings 500g,1.0,7.0,1.75
2016-06-30,Olympian Products,Dry East 125g,1.0,2.19,0.69
2016-06-30,Onions,Red onion 10kg,2.0,36.0,16.0
2016-06-30,Other Fruits,Natural Dates 1kg Medjioul,33.0,759.0,709.5
2016-06-30,Other Vegies,Celery Pieces,0.194,0.9506,0.5626
2016-06-30,Pastas,Peeled Plum Tomatoes,28.0,27.719999999999988,8.68
2016-06-30,Pears,Red Nashi Pear,1.6400000000000001,4.083600000000001,-0.016399999999999082
2016-06-30,Potatoes,Cocktail Potatoes,6.628000000000001,26.445720000000005,16.50372
2016-06-30,Pumpkins,Wijaya fish curry Powder 70g,1.0,1.99,0.8899999999999999
2016-06-30,Root Vegies,Turmeric,0.412,10.3,-8.240000000000002
2016-06-30,Sri Lankan Groceries,1Lt Coconut Oil Ver,1.0,14.0,14.0
2016-06-30,Stonefruits,peaches white,7.896,27.636,27.636
2016-06-30,Tomatoes,Cocktail Tomatoes,1.0,2.49,-0.009999999999999787
2016-06-30,Tropical Fruits,Rambutan ,0.258,4.644,4.644
2016-06-30,Veggies,Beans Snake,8.08,72.6392,40.319199999999995
2016-06-30,capsicum,Capsicum yellow,2.288,14.872000000000003,14.872000000000003
2016-06-30,carrots,Carrots ,120.39000000000003,204.663,204.663
2016-06-30,coconut Products,Premium 5k Pattu,1.0,13.5,2.8800000000000012
2016-06-30,trutaste,Almonds Natural 500g,1.0,9.99,2.24
2016-07-31,Apples,apple pink lady 2kg,2.0,10.0,4.0
2016-07-31,Asian Vegies,Pac choy,4.0,3.6,1.6
2016-07-31,Avocadoes,Avocado Small Hass,19.0,47.5,38.0
2016-07-31,Bananas,Banana Cavendish,1552.3179999999968,3089.112819999995,-15.523180000000028
2016-07-31,Berries,Berries Strawberry (large),64.0,243.20000000000013,30.079999999999984
2016-07-31,Bunch Vegies,beetroot Golden Delicious,2.66,13.273400000000002,13.273400000000002
