DATE,CATEGORY,NAME,UNITS,TOTAL_PRICESELL,PROFIT
2016-03-31,Apples,Apples Granny Smith,57.255999999999986,171.76800000000003,171.76800000000003
2016-03-31,Asian Vegies,Okra,17.946,179.28054,29.43144000000001
2016-03-31,Avocadoes,Avocado Shepard,110.0,220.0,220.0
2016-03-31,Bananas,Banana Cavendish,334.52399999999983,665.702759999999,-3.3452399999999964
2016-03-31,Berries,Berries Blueberry,8.0,28.0,28.0
2016-03-31,Bunch Vegies,Celery,37.0,110.62999999999995,110.62999999999995
2016-03-31,Cabbages,Cabbage green,12.68,63.27320000000001,63.27320000000001
2016-03-31,Chillies,Chilli red,2.3879999999999995,59.69999999999999,59.69999999999999
2016-03-31,Citrus,Orange navel,96.91000000000003,289.7609,289.7609
2016-03-31,Cucumbers,Cucumber Lebanese,34.88400000000001,174.07116000000016,174.07116000000016
2016-03-31,Cut Veggies,cabbage Quater,27.0,45.90000000000001,45.90000000000001
2016-03-31,Eggs,eggs 800g,27.0,102.59999999999995,27.0
2016-03-31,Flowers,Bunch Roses,12.0,108.0,12.0
2016-03-31,Grapes,Grapes white Seedless,111.69399999999999,333.96506000000005,333.96506000000005
2016-03-31,Herbs,Parsley Continental,13.0,22.099999999999998,22.099999999999998
2016-03-31,Lettuces,Lettuce Iceberg,95.0,237.5,237.5
2016-03-31,Melons,Watermelon seedless,392.8620000000001,585.3643800000001,192.50238
2016-03-31,Multi buy,kiwifruit multibuy 5 for $2,30.0,60.0,48.29999999999999
2016-03-31,Mushrooms,Mushroom flat ,14.383999999999993,143.69616000000002,143.69616000000002
2016-03-31,Nuts,Cannellini Beans 1Kg,6.0,32.940000000000005,7.74
2016-03-31,Olympian Products,Sweetloaf,13.0,62.399999999999984,13.650000000000002
2016-03-31,Onions,Onion brown,46.60800000000001,92.74991999999999,92.74991999999999
2016-03-31,Other Fruits,Kiwi fruit Green,23.0,126.5,126.5
2016-03-31,Other Vegies,Eggplant,58.336,407.76863999999995,407.76863999999995
2016-03-31,Pears,Pears William,78.04799999999997,140.48639999999997,140.48639999999997
2016-03-31,Potatoes,Potato washed,68.05000000000001,203.4695,203.4695
2016-03-31,Pumpkins,Pumpkin Japanese/Kent,123.87599999999995,246.51323999999997,246.51323999999997
