DATE,CATEGORY,NAME,UNITS,PROFIT,TOTAL_PRICESELL
2016-03-31,Apples,Apples Granny Smith,57.255999999999986,171.76800000000003,171.76800000000003
2016-03-31,Asian Vegies,Okra,17.946,29.43144000000001,179.28054
2016-03-31,Avocadoes,Avocado Shepard,110.0,220.0,220.0
2016-03-31,Bananas,Banana Cavendish,334.52399999999983,-3.3452399999999964,665.702759999999
2016-03-31,Berries,Berries Strawberry (large),49.0,23.029999999999994,186.20000000000005
2016-03-31,Bunch Vegies,Onion spring,72.0,64.79999999999994,108.0
2016-03-31,Cabbages,Cabbage green,12.68,63.27320000000001,63.27320000000001
2016-03-31,Chillies,chilli yellow long,12.209999999999997,48.83999999999999,85.46999999999998
2016-03-31,Citrus,Orange navel,96.91000000000003,289.7609,289.7609
2016-03-31,Cucumbers,Cucumber continental,59.402,89.10300000000001,89.10300000000001
2016-03-31,Cut Veggies,cabbage Quater,27.0,45.90000000000001,45.90000000000001
2016-03-31,Eggs,Eggs 700g,46.0,23.0,147.20000000000002
2016-03-31,Flowers,Bunch Roses,12.0,12.0,108.0
2016-03-31,Grapes,Grapes white Seedless,111.69399999999999,333.96506000000005,333.96506000000005
2016-03-31,Herbs,Parsley Continental,13.0,22.099999999999998,22.099999999999998
2016-03-31,Lettuces,Lettuce Iceberg,95.0,237.5,237.5
2016-03-31,Melons,Watermelon seedless,392.8620000000001,192.50238,585.3643800000001
2016-03-31,Multi buy,kiwifruit multibuy 5 for $2,30.0,48.29999999999999,60.0
2016-03-31,Mushrooms,Mushroom Cup,14.828000000000007,59.163720000000005,133.30372
2016-03-31,Nuts,Cannellini Beans 1Kg,6.0,7.74,32.940000000000005
2016-03-31,Olympian Products,Sweetloaf,13.0,13.650000000000002,62.399999999999984
2016-03-31,Onions,onion brown 2kg Small,47.0,75.19999999999999,122.1999999999999
2016-03-31,Other Fruits,Persimmons,38.0,34.2,34.2
2016-03-31,Other Vegies,Sweet Corn,83.0,99.60000000000004,99.60000000000004
2016-03-31,Pears,Pears William,78.04799999999997,140.48639999999997,140.48639999999997
2016-03-31,Potatoes,Potato brushed,146.06599999999995,36.51649999999998,365.1650000000001
2016-03-31,Pumpkins,Pumpkin Japanese/Kent,123.87599999999995,246.51323999999997,246.51323999999997
2016-03-31,Root Vegies,Beetroot,13.040000000000001,38.98960000000001,38.98960000000001
2016-03-31,Sri Lankan Groceries,Chocolate Biscuit 200g,6.0,5.4,12.0
2016-03-31,Stonefruits,Nectarine White,204.52600000000007,366.1015400000004,611.5327400000006
2016-03-31,Tomatoes,Field Tomatoes,152.26599999999993,211.64974,455.2753400000001
2016-03-31,Tropical Fruits,Pomegranate,27.0,40.5,67.5
2016-03-31,Veggies,Borlotti Beans,5.232,29.508480000000006,41.80368
2016-03-31,capsicum,Capsicum red,75.43400000000001,376.41566,376.41566
2016-03-31,carrots,Carrots 1kg,97.0,66.92999999999991,144.5299999999999
2016-04-30,Apples,Apples Fuji,224.61999999999995,896.2338000000001,896.2338000000001
2016-04-30,Asian Vegies,Pac choy,34.0,13.600000000000007,30.59999999999999
2016-04-30,Avocadoes,Avocado Shepard,101.0,202.0,202.0
2016-04-30,Bananas,Banana Cavendish,933.9640000000007,-9.339640000000012,1858.5883599999993
2016-04-30,Berries,Berries Strawberry (large),62.0,29.13999999999998,235.60000000000016
2016-04-30,Bunch Vegies,Onion spring,227.0,204.3000000000007,340.5
2016-04-30,Cabbages,Cabbage Wombok,43.0,-96.75,64.5
2016-04-30,Chillies,chilli yellow long,40.860000000000014,163.44000000000005,286.0199999999999
2016-04-30,Citrus,Lemon,399.0,1193.010000000002,1193.010000000002
2016-04-30,Cucumbers,Cucumber continental,339.0,508.5,508.5
2016-04-30,Cut Fruits,Mangosteen,10.0,170.0,170.0
2016-04-30,Cut Veggies,cabbage half,65.0,195.0,195.0
2016-04-30,Eggs,Eggs 700g,116.0,58.0,371.19999999999976
2016-04-30,Flowers,Bunch Roses,16.0,16.0,144.0
2016-04-30,Fruits,Figs 370g pak,9.0,9.0,36.0
2016-04-30,Grapes,Grapes black,303.91400000000004,1212.6168599999996,1212.6168599999996
2016-04-30,Groceries-Dry Goods,Monsoon Basmathi 5kg,8.0,79.92,79.92
2016-04-30,Herbs,Parsley Continental,75.0,127.50000000000011,127.50000000000011
2016-04-30,Kalamata olives,Sweet Rusk ,13.0,13.0,78.0
2016-04-30,Lettuces,Lettuce Iceberg,240.0,600.0,600.0
2016-04-30,Melons,Watermelon seedless,462.60600000000005,226.67693999999995,689.2829399999997
2016-04-30,Multi buy,Avocado 2 for $,120.0,90.0,240.0
2016-04-30,Mushrooms,Mushroom Cup,53.72199999999999,214.3507800000001,482.9607800000001
2016-04-30,Nuts,chest Nuts,22.484,0.22483999999999382,202.356
2016-04-30,Olympian Products,Sweetloaf,74.0,77.69999999999989,355.2000000000005
2016-04-30,Onions,Onion brown,108.76199999999997,216.43638000000016,216.43638000000016
2016-04-30,Other Fruits,Persimmons,166.0,149.40000000000003,149.40000000000003
2016-04-30,Other Vegies,Sweet Corn,259.0,310.8,310.8
2016-04-30,Pears,pear corella,121.02399999999996,60.51199999999998,363.072
2016-04-30,Potatoes,Potato brushed,221.89999999999992,55.47499999999999,554.75
2016-04-30,Pumpkins,Pumpkin Japanese/Kent,182.67999999999995,363.53319999999985,363.53319999999985
2016-04-30,Root Vegies,Beetroot,24.10600000000001,72.07694,72.07694
2016-04-30,Sri Lankan Groceries,Chocolate Biscuit 200g,7.0,6.300000000000001,14.0
2016-04-30,Stonefruits,Peaches Yellow,121.98399999999997,486.71615999999983,486.71615999999983
2016-04-30,Tomatoes,Field Tomatoes,468.7079999999992,651.5041200000001,1401.4369200000012
2016-04-30,Tropical Fruits,Papaya Red,39.292,196.46,196.46
2016-04-30,Veggies,Borlotti Beans,3.182,17.94648,25.424180000000003
2016-04-30,capsicum,Capsicum green,56.40799999999999,281.4759199999999,281.4759199999999
2016-04-30,carrots,Carrots 1kg,196.0,135.2399999999997,292.0400000000007
2016-04-30,coconut Products,Brinjal Pickle 400g,7.0,8.75,36.4
2016-05-31,Apples,Apples Fuji,277.03999999999996,1105.3896000000007,1105.3896000000007
2016-05-31,Asian Vegies,Okra,45.77599999999999,75.07264000000005,457.3022400000002
2016-05-31,Avocadoes,Avocado Hass Medium,297.0,-299.96999999999946,591.0300000000016
